exchange,symbol,baseAsset,quoteAsset,volume,category
Binance,PUMPTRY,PUMPTRY,Other,145521623.8937,Moderate
Binance,VANATRY,VANATRY,Other,145504512.035,Moderate
Binance,SUIJPY,SUIJPY,Other,140265308.8777,Moderate
Binance,ASTERUSDT,ASTER,USDT,139159185.37313,Moderate
Binance,ZBTTRY,ZBTTRY,Other,132021941.482,Moderate
Binance,EDENTRY,EDENTRY,Other,125305647.498,Moderate
Binance,SOLVTRY,SOLVTRY,Other,123578961.979,Moderate
Binance,FDUSDUSDC,FDUSDUSDC,Other,123512371.3936,Moderate
Binance,AIXBTTRY,AIXBTTRY,Other,118556691.991,Moderate
Bybit,1000PEPEUSDT,1000PEPE,USDT,118211743.8957,Moderate
Binance,BNBUSDC,BNBUSDC,Other,117891704.24946,Moderate
Binance,AVNTTRY,AVNTTRY,Other,115873972.681,Low Volume
Bybit,XAUTUSDT,XAUT,USDT,114418556.0765,Low Volume
Binance,HBARTRY,HBARTRY,Other,112876534.794,Low Volume
Binance,XRPUSDC,XRPUSDC,Other,111382136.94981,Low Volume
Binance,AMPTRY,AMPTRY,Other,111027174.9138,Low Volume
Binance,BUSDUAH,BUSDUAH,Other,106686926.69,Low Volume
Binance,BONKTRY,BONKTRY,Other,103560307.685563,Low Volume
Bybit,MNTUSDT,MNT,USDT,102037678.703,Low Volume
Binance,TRXTRY,TRXTRY,Other,101074934.11,Low Volume
Binance,ZBTUSDT,ZBT,USDT,97538887.00719,Low Volume
Binance,SNXTRY,SNXTRY,Other,96972338.412,Low Volume
Binance,OGTRY,OGTRY,Other,96751321.652,Low Volume
Binance,PENGUTRY,PENGUTRY,Other,96456626.5286,Low Volume
Binance,PNUTTRY,PNUTTRY,Other,94150229.743,Low Volume
Binance,SUIUSDT,SUI,USDT,92960954.82434,Low Volume
Binance,DOGETRY,DOGETRY,Other,89426738.573,Low Volume
Bybit,EVAAUSDT,EVAA,USDT,89371953.3436,Low Volume
Binance,AVAXTRY,AVAXTRY,Other,89303349.626,Low Volume
Binance,FLOKITRY,FLOKITRY,Other,88192435.400463,Low Volume
Binance,MATICJPY,MATICJPY,Other,86572710.201,Low Volume
Binance,ETHRUB,ETHRUB,Other,84817631.64067,Low Volume
Bybit,HUSDT,H,USDT,83305204.5609,Low Volume
Binance,DOGEFDUSD,DOGEFDUSD,Other,82874651.67681,Low Volume
Binance,TAOUSDT,TAO,USDT,82277359.64241,Low Volume
Binance,PUMPUSDT,PUMP,USDT,80507156.227878,Low Volume
Binance,ENAUSDT,ENA,USDT,76673889.295787,Low Volume
Binance,HBARUSDT,HBAR,USDT,76539893.50544,Low Volume
Binance,WLFITRY,WLFITRY,Other,76367229.0599,Low Volume
Binance,XPLUSDT,XPL,USDT,76211433.81806,Low Volume
Binance,ARTRY,ARTRY,Other,76140837.961,Low Volume
Binance,FDUSDTRY,FDUSDTRY,Other,74441394.58,Low Volume
Binance,FFTRY,FFTRY,Other,74153548.1517,Low Volume
Bybit,RECALLUSDT,RECALL,USDT,72792278.6076,Low Volume
Binance,TRXUSDT,TRX,USDT,72137077.34306,Low Volume
Binance,LTCUSDT,LTC,USDT,68818178.70559,Low Volume
Binance,VIRTUALUSDT,VIRTUAL,USDT,68393036.43089,Low Volume
Binance,TIATRY,TIATRY,Other,67059155.536,Low Volume
Binance,PAXGUSDT,PAXG,USDT,66918243.750832,Low Volume
Binance,BELTRY,BELTRY,Other,66223448.2992,Low Volume
Binance,BCHUSDT,BCH,USDT,63410103.1537,Low Volume
Binance,LINKUSDT,LINK,USDT,63172168.9445,Low Volume
Bybit,DRIFTUSDT,DRIFT,USDT,62369111.9049,Low Volume
Binance,GIGGLEUSDT,GIGGLE,USDT,61661557.22995,Low Volume
Binance,ADAUSDT,ADA,USDT,61023675.89204,Low Volume
Binance,FETTRY,FETTRY,Other,60799685.389,Low Volume
Binance,NXPCTRY,NXPCTRY,Other,59354936.424,Low Volume
Binance,ALPINETRY,ALPINETRY,Other,58114094.6562,Low Volume
Binance,XRPRUB,XRPRUB,Other,58031100.45,Low Volume
Bybit,CLANKERUSDT,CLANKER,USDT,57817114.7755,Low Volume
Binance,PORTALTRY,PORTALTRY,Other,55969411.2992,Low Volume
Binance,SUITRY,SUITRY,Other,55592978.785,Low Volume
Binance,ACTTRY,ACTTRY,Other,55548810.75,Low Volume
Binance,TRBTRY,TRBTRY,Other,54922526.272,Low Volume
Binance,ALICETRY,ALICETRY,Other,53310928.2448,Low Volume
Binance,BTCBRL,BTCBRL,Other,52642721.17011,Low Volume
Binance,EULUSDT,EUL,USDT,51925172.23607,Low Volume
Binance,TAOTRY,TAOTRY,Other,51617272.4038,Low Volume
Binance,SUIUSDC,SUIUSDC,Other,51242672.34517,Low Volume
Bybit,MELANIAUSDT,MELANIA,USDT,50377752.6665,Low Volume
Binance,AAVETRY,AAVETRY,Other,49959260.135,Low Volume
Binance,ARBTRY,ARBTRY,Other,49273405.361,Low Volume
Binance,NFPTRY,NFPTRY,Other,47180171.52,Low Volume
Binance,PEPEUSDT,PEPE,USDT,46896602.11769969,Low Volume
Binance,OMTRY,OMTRY,Other,46428842.454,Low Volume
Binance,BBTRY,BBTRY,Other,46299019.6088,Low Volume
Binance,AVAXUSDT,AVAX,USDT,45698492.8558,Low Volume
Binance,USD1USDT,USD1,USDT,45094914.834,Low Volume
Binance,EDUTRY,EDUTRY,Other,43847114.73,Low Volume
Binance,LTCJPY,LTCJPY,Other,43817645.978,Low Volume
Binance,WLDTRY,WLDTRY,Other,43761038.263,Low Volume
Bybit,BTCPERP,BTCPERP,USDT,43279131.5742,Low Volume
Binance,SOLRUB,SOLRUB,Other,42853970.38,Low Volume
Binance,LTCRUB,LTCRUB,Other,42062655.6067,Low Volume
Binance,DEGOUSDT,DEGO,USDT,42019413.121,Low Volume
Binance,LINEATRY,LINEATRY,Other,41977724.3781,Low Volume
Binance,NEARRUB,NEARRUB,Other,41750303.3031,Low Volume
Bybit,METUSDT,MET,USDT,40540027.2211,Low Volume
Binance,BNBARS,BNBARS,Other,40160901.089,Low Volume
Bybit,UBUSDT,UB,USDT,39864938.4687,Low Volume
Binance,ARKMRUB,ARKMRUB,Other,39614227.12,Low Volume
Binance,FFUSDT,FF,USDT,39548471.232222,Low Volume
Binance,XPLTRY,XPLTRY,Other,39469575.137,Low Volume
Bybit,MYROUSDT,MYRO,USDT,39197198.8081,Low Volume
Binance,ARKMTRY,ARKMTRY,Other,39153868.367,Low Volume
Binance,MATICRUB,MATICRUB,Other,38842056.806,Low Volume
Binance,REZTRY,REZTRY,Other,38141964.9897,Low Volume
Bybit,1000BONKUSDT,1000BONK,USDT,37636192.5033,Low Volume
Binance,RNDRTRY,RNDRTRY,Other,37571751.4,Low Volume
Binance,DARTRY,DARTRY,Other,37489738.58089,Low Volume
Binance,BSWTRY,BSWTRY,Other,37061039.71311,Low Volume
Binance,TAOUSDC,TAOUSDC,Other,36437180.35184,Low Volume
Binance,EOSTRY,EOSTRY,Other,36347391.336,Low Volume
Bybit,OLUSDT,OL,USDT,36119969.3201,Low Volume
Binance,STMXTRY,STMXTRY,Other,35988423.1097,Low Volume
Binance,SHIBTRY,SHIBTRY,Other,35929371.3920567,Low Volume
Binance,0GTRY,0GTRY,Other,35803267.9586,Low Volume
Binance,USDTRUB,USDTRUB,Other,35449445.23,Low Volume
Binance,BNXTRY,BNXTRY,Other,35423657.847,Low Volume
Binance,HEMITRY,HEMITRY,Other,35375685.75,Low Volume
Binance,CTRY,CTRY,Other,35002438.4105,Low Volume
Binance,WLFIUSDT,WLFI,USDT,34723293.91203,Low Volume
Bybit,BLUAIUSDT,BLUAI,USDT,34693888.2133,Low Volume
Binance,MTLTRY,MTLTRY,Other,34297041.831,Low Volume
Binance,WLDRUB,WLDRUB,Other,33965359.3,Low Volume
Bybit,ZORAUSDT,ZORA,USDT,33901023.3241,Low Volume
Binance,EURUSDC,EURUSDC,Other,33691304.83705,Low Volume
Binance,PENGUUSDT,PENGU,USDT,33530003.58924,Low Volume
Binance,COMBOTRY,COMBOTRY,Other,33286631.498,Low Volume
Binance,LTCTRY,LTCTRY,Other,32651532.33,Low Volume
Binance,STOTRY,STOTRY,Other,32569923.0874,Low Volume
Binance,WIFTRY,WIFTRY,Other,32053668.4343,Low Volume
Binance,BANANATRY,BANANATRY,Other,32052447.591,Low Volume
Binance,ARPARUB,ARPARUB,Other,31655026.629,Low Volume
Binance,BNBRUB,BNBRUB,Other,31516289.48177,Low Volume
Bybit,AI16ZUSDT,AI16Z,USDT,31063478.2284,Low Volume
Binance,YBUSDT,YB,USDT,31032740.4411,Low Volume
Binance,DAIJPY,DAIJPY,Other,30835850.94197,Low Volume
Binance,1000SATSTRY,1000SATSTRY,Other,30593620.916016,Low Volume
Bybit,BLESSUSDT,BLESS,USDT,30268938.8199,Low Volume
Binance,APTTRY,APTTRY,Other,30016996.082,Low Volume
Binance,NEIROTRY,NEIROTRY,Other,29921540.20577,Low Volume
Binance,HBARUSDC,HBARUSDC,Other,29855464.6409,Low Volume
Binance,EURUSDT,EUR,USDT,29686744.82472,Low Volume
Binance,NEARUSDT,NEAR,USDT,29601113.2887,Low Volume
Binance,DIAUSDT,DIA,USDT,29588659.27739,Low Volume
Binance,WLDUSDT,WLD,USDT,29437697.0333,Low Volume
Bybit,AIAUSDT,AIA,USDT,29421442.472,Low Volume
Binance,CETUSTRY,CETUSTRY,Other,29402250.188,Low Volume
Binance,KAITOTRY,KAITOTRY,Other,29209158.2473,Low Volume
Binance,TRUMPUSDC,TRUMPUSDC,Other,29206840.725092,Low Volume
Binance,LUNCTRY,LUNCTRY,Other,29131681.016235,Low Volume
Binance,LINKUSDC,LINKUSDC,Other,29113840.6258,Low Volume
Binance,TUSDTRY,TUSDTRY,Other,29054651.87,Low Volume
Binance,BTCEUR,BTCEUR,Other,28808273.1121667,Low Volume
Binance,ZENUSDT,ZEN,USDT,28759501.50211,Low Volume
Binance,XVGTRY,XVGTRY,Other,28661514.3054,Low Volume
Binance,ETHARS,ETHARS,Other,28615880.1243,Low Volume
Binance,ARBRUB,ARBRUB,Other,28365140.6,Low Volume
Binance,ETHEUR,ETHEUR,Other,28331480.08961,Low Volume
Binance,SOLARS,SOLARS,Other,27894769.971,Low Volume
Bybit,ETHPERP,ETHPERP,USDT,27765101.0709,Low Volume
Binance,MUBARAKTRY,MUBARAKTRY,Other,27587911.9544,Low Volume
Binance,TURTLEUSDT,TURTLE,USDT,27329015.85776,Low Volume
Bybit,SPXUSDT,SPX,USDT,27262259.0907,Low Volume
Bybit,IPUSDT,IP,USDT,27085846.8635,Low Volume
Binance,GALATRY,GALATRY,Other,27029151.30024,Low Volume
Bybit,4USDT,4,USDT,26104143.9912,Low Volume
Binance,ADATRY,ADATRY,Other,26100972.732,Low Volume
Binance,DOTRUB,DOTRUB,Other,25900111.769,Low Volume
Binance,TOMOTRY,TOMOTRY,Other,25818736.583,Low Volume
Binance,DOGERUB,DOGERUB,Other,25314729.445,Low Volume
Binance,AVNTUSDT,AVNT,USDT,25175536.58896,Low Volume
Bybit,USELESSUSDT,USELESS,USDT,25081516.4488,Low Volume
Bybit,B2USDT,B2,USDT,24856199.0883,Low Volume
Binance,NOMTRY,NOMTRY,Other,24803402.609,Low Volume
Binance,DOGEUSDC,DOGEUSDC,Other,24694753.80861,Low Volume
Bybit,APRUSDT,APR,USDT,24425470.0855,Low Volume
Binance,EULTRY,EULTRY,Other,23924966.889,Low Volume
Binance,ZKCTRY,ZKCTRY,Other,23690686.911,Low Volume
Binance,CAKEUSDT,CAKE,USDT,23657036.91314,Low Volume
Binance,ETHFIUSDT,ETHFI,USDT,23654923.465,Low Volume
Binance,USDTMXN,USDTMXN,Other,23449808.97,Low Volume
Binance,ALGORUB,ALGORUB,Other,22825266.986,Low Volume
Binance,ADAUSDC,ADAUSDC,Other,22783437.952,Low Volume
Binance,ADARUB,ADARUB,Other,22009737.686,Low Volume
Binance,BFUSDUSDT,BFUSD,USDT,21882583.639,Low Volume
Binance,FTMTRY,FTMTRY,Other,21732254.1973,Low Volume
Binance,TSTTRY,TSTTRY,Other,21131240.729,Low Volume
Binance,LINKJPY,LINKJPY,Other,21074670.09,Low Volume
Binance,HIFIUSDT,HIFI,USDT,20961026.5046,Low Volume
Binance,DASHUSDT,DASH,USDT,20908843.00342,Low Volume
Binance,RUNETRY,RUNETRY,Other,20874828.8435,Low Volume
Binance,AXLTRY,AXLTRY,Other,20856064.9662,Low Volume
Binance,COCOSTRY,COCOSTRY,Other,20808240.3782,Low Volume
Binance,BONKUSDT,BONK,USDT,20555320.69863785,Low Volume
Binance,LDOTRY,LDOTRY,Other,20282203.2056,Low Volume
Binance,SOMITRY,SOMITRY,Other,20277362.907,Low Volume
Binance,ETHBRL,ETHBRL,Other,20084467.257165,Low Volume
Bybit,KGENUSDT,KGEN,USDT,20016207.4336,Low Volume
Binance,USUALTRY,USUALTRY,Other,19948884.949,Low Volume
Bybit,XPINUSDT,XPIN,USDT,19928769.6177,Low Volume
Binance,BTCRUB,BTCRUB,Other,19883966.82094,Low Volume
Binance,XAITRY,XAITRY,Other,19844657.411,Low Volume
Binance,PIXELTRY,PIXELTRY,Other,19835403.6159,Low Volume
Binance,MEMETRY,MEMETRY,Other,19809855.6622,Low Volume
Binance,XLMJPY,XLMJPY,Other,19608455.756,Low Volume
Binance,ARBUSDT,ARB,USDT,19521513.60094,Low Volume
Binance,SPKTRY,SPKTRY,Other,19491372.6398,Low Volume
Binance,CFXTRY,CFXTRY,Other,19247005.631,Low Volume
Binance,ETHUAH,ETHUAH,Other,19222414.2759,Low Volume
Binance,LTCUAH,LTCUAH,Other,19182133.571,Low Volume
Binance,LINKTRY,LINKTRY,Other,19104259.002,Low Volume
Binance,RENDERTRY,RENDERTRY,Other,18985885.645,Low Volume
Binance,FILUSDT,FIL,USDT,18910158.02056,Low Volume
Binance,MIRATRY,MIRATRY,Other,18907706.835,Low Volume
Binance,ASTERUSDC,ASTERUSDC,Other,18837595.28452,Low Volume
Bybit,FLOCKUSDT,FLOCK,USDT,18778861.931,Low Volume
Binance,MEUSDT,ME,USDT,18734126.57914,Low Volume
Bybit,RIVERUSDT,RIVER,USDT,18690657.9134,Low Volume
Binance,TRXJPY,TRXJPY,Other,18623477.7548,Low Volume
Bybit,BRETTUSDT,BRETT,USDT,18199807.7592,Low Volume
Binance,APETRY,APETRY,Other,18096535.75191,Low Volume
Binance,ONDOTRY,ONDOTRY,Other,18042078.5364,Low Volume
Binance,DOGSTRY,DOGSTRY,Other,18030772.48148,Low Volume
Binance,JUPTRY,JUPTRY,Other,18016046.495,Low Volume
Binance,THETRY,THETRY,Other,17930364.2018,Low Volume
Binance,YGGTRY,YGGTRY,Other,17734445.89,Low Volume
Binance,TURBOTRY,TURBOTRY,Other,17725831.0418,Low Volume
Binance,UNIUSDT,UNI,USDT,17568379.23343,Low Volume
Binance,RADTRY,RADTRY,Other,17567880.984,Low Volume
Bybit,APEXUSDT,APEX,USDT,17479766.2312,Low Volume
Binance,TRURUB,TRURUB,Other,17276744.26,Low Volume
Bybit,COMMONUSDT,COMMON,USDT,17035288.2463,Low Volume
Binance,ACATRY,ACATRY,Other,17018506.984,Low Volume
Binance,SANTOSTRY,SANTOSTRY,Other,17016318.1811,Low Volume
Binance,BUSDZAR,BUSDZAR,Other,16990863.54,Low Volume
Binance,LEVERTRY,LEVERTRY,Other,16916356.14627,Low Volume
Binance,AEVOTRY,AEVOTRY,Other,16800179.9986,Low Volume
Binance,FRONTTRY,FRONTTRY,Other,16796392.461,Low Volume
Binance,EIGENUSDT,EIGEN,USDT,16756326.92511,Low Volume
Binance,FUSDT,F,USDT,16719455.98169,Low Volume
Binance,FTMRUB,FTMRUB,Other,16623861.44,Low Volume
Binance,GPSTRY,GPSTRY,Other,16445542.4123,Low Volume
Binance,2ZTRY,2ZTRY,Other,16414245.162,Low Volume
Binance,CRVUSDT,CRV,USDT,16293917.33576,Low Volume
Binance,ACETRY,ACETRY,Other,16236373.708,Low Volume
Bybit,AKTUSDT,AKT,USDT,16191333.2542,Low Volume
Binance,BCHJPY,BCHJPY,Other,16119161.5069,Low Volume
Binance,CYBERTRY,CYBERTRY,Other,16113110.309,Low Volume
Bybit,POPCATUSDT,POPCAT,USDT,15916744.649,Low Volume
Binance,BAKEUSDT,BAKE,USDT,15881641.14103,Low Volume
Binance,MATICTRY,MATICTRY,Other,15859580.21,Low Volume
Binance,ZKTRY,ZKTRY,Other,15742621.706,Low Volume
Binance,LINEAUSDT,LINEA,USDT,15706534.98124,Low Volume
Binance,ARPATRY,ARPATRY,Other,15704781.5458,Low Volume
Binance,API3TRY,API3TRY,Other,15608449.743,Low Volume
Binance,SLFUSDT,SLF,USDT,15553989.82726,Low Volume
Binance,PEPEJPY,PEPEJPY,Other,15483379.450623,Low Volume
Binance,AITRY,AITRY,Other,15368154.116,Low Volume
Bybit,XANUSDT,XAN,USDT,15360592.7672,Low Volume
Binance,DOTUSDT,DOT,USDT,15308633.97237,Low Volume
Binance,AAVEUSDT,AAVE,USDT,15175597.02221,Low Volume
Binance,FETUSDT,FET,USDT,15129303.98826,Low Volume
Binance,ACHTRY,ACHTRY,Other,15032393.4111,Low Volume
Bybit,SHIB1000USDT,SHIB1000,USDT,14942239.7571,Low Volume
Bybit,MOODENGUSDT,MOODENG,USDT,14838676.4503,Low Volume
Binance,OMNIUSDT,OMNI,USDT,14543611.509,Low Volume
Binance,EDENUSDT,EDEN,USDT,14470812.63491,Low Volume
Binance,AGIXTRY,AGIXTRY,Other,14418775.69,Low Volume
Binance,GALTRY,GALTRY,Other,14288767.18478,Low Volume
Bybit,1000FLOKIUSDT,1000FLOKI,USDT,14236100.7863,Low Volume
Binance,SPELLTRY,SPELLTRY,Other,14129342.5444,Low Volume
Binance,HYPERTRY,HYPERTRY,Other,14081883.842,Low Volume
Binance,MAGICTRY,MAGICTRY,Other,14043754.183,Low Volume
Binance,WIFUSDT,WIF,USDT,14013073.83693,Low Volume
Binance,NEORUB,NEORUB,Other,13931129.559,Low Volume
Binance,TONUSDT,TON,USDT,13899140.70814,Low Volume
Binance,WAVESTRY,WAVESTRY,Other,13825913.40441,Low Volume
Binance,APTUSDT,APT,USDT,13738313.83738,Low Volume
Binance,BUSDTRY,BUSDTRY,Other,13655332.95,Low Volume
Binance,SNXUSDT,SNX,USDT,13647462.7101,Low Volume
Binance,SAGATRY,SAGATRY,Other,13531184.113,Low Volume
Binance,ONDOUSDT,ONDO,USDT,13414544.68425,Low Volume
Binance,FORMUSDT,FORM,USDT,13308148.07332,Low Volume
Binance,AIXBTUSDT,AIXBT,USDT,13282101.54562,Low Volume
Binance,PHBTRY,PHBTRY,Other,13275574.41,Low Volume
Bybit,MERLUSDT,MERL,USDT,13274698.6147,Low Volume
Binance,MKRTRY,MKRTRY,Other,13249576.3943,Low Volume
Binance,JUVTRY,JUVTRY,Other,13176211.745,Low Volume
Binance,LTCUSDC,LTCUSDC,Other,13174051.66914,Low Volume
Binance,XLMUSDT,XLM,USDT,13122049.6118,Low Volume
Bybit,MYXUSDT,MYX,USDT,13064256.5315,Low Volume
Binance,OCEANTRY,OCEANTRY,Other,12974103.643,Low Volume
Bybit,STBLUSDT,STBL,USDT,12788396.3619,Low Volume
Binance,RDNTTRY,RDNTTRY,Other,12758410.602,Low Volume
Binance,AUCTIONTRY,AUCTIONTRY,Other,12698928.082,Low Volume
Bybit,AEROUSDT,AERO,USDT,12643176.4904,Low Volume
Binance,FLOKIUSDT,FLOKI,USDT,12621455.55515502,Low Volume
Binance,RESOLVTRY,RESOLVTRY,Other,12573416.832,Low Volume
Bybit,SAPIENUSDT,SAPIEN,USDT,12558323.469,Low Volume
Binance,XTZTRY,XTZTRY,Other,12399404.9688,Low Volume
Binance,LDOUSDT,LDO,USDT,12292188.862017,Low Volume
Binance,ALGOTRY,ALGOTRY,Other,12218929.6055,Low Volume
Binance,MAVTRY,MAVTRY,Other,12175603.75,Low Volume
Binance,ENAUSDC,ENAUSDC,Other,12138977.242365,Low Volume
Binance,BUSDBRL,BUSDBRL,Other,12038082.8389,Low Volume
Binance,MLNUSDT,MLN,USDT,11999404.2576,Low Volume
Binance,SEIUSDT,SEI,USDT,11989461.37635,Low Volume
Binance,BIOUSDT,BIO,USDT,11808324.25511,Low Volume
Binance,PENGUUSDC,PENGUUSDC,Other,11768280.740932,Low Volume
Binance,ACMTRY,ACMTRY,Other,11707782.758,Low Volume
Binance,LATRY,LATRY,Other,11700792.098,Low Volume
Binance,CHZTRY,CHZTRY,Other,11640249.083,Low Volume
Binance,ARUSDT,AR,USDT,11636375.2712,Low Volume
Binance,TONTRY,TONTRY,Other,11620673.747,Low Volume
Binance,TROYTRY,TROYTRY,Other,11609435.5598,Low Volume
Binance,XRPEUR,XRPEUR,Other,11543854.05411,Low Volume
Binance,IOTRY,IOTRY,Other,11536085.0738,Low Volume
Binance,VANAUSDT,VANA,USDT,11505628.08137,Low Volume
Binance,USDTCZK,USDTCZK,Other,11505223.63,Low Volume
Bybit,LABUSDT,LAB,USDT,11477720.7921,Low Volume
Binance,JASMYTRY,JASMYTRY,Other,11475939.136,Low Volume
Binance,XUSDUSDT,XUSD,USDT,11387982.9197,Low Volume
Binance,SHELLTRY,SHELLTRY,Other,11212655.939,Low Volume
Binance,ROSETRY,ROSETRY,Other,11156519.9109,Low Volume
Binance,UNFITRY,UNFITRY,Other,11057385.076,Low Volume
Binance,SUNTRY,SUNTRY,Other,10819027.1018,Low Volume
Binance,TREETRY,TREETRY,Other,10811955.552,Low Volume
